279400 - 279500,1
8600 - 8700,1
8200 - 8300,1
7500 - 7600,1
7300 - 7400,1
6900 - 7000,1
5900 - 6000,1
5800 - 5900,2
5100 - 5200,2
5000 - 5100,1
4700 - 4800,1
4600 - 4700,1
4500 - 4600,2
4300 - 4400,2
4200 - 4300,2
4100 - 4200,5
4000 - 4100,2
3800 - 3900,2
3700 - 3800,6
3600 - 3700,3
3500 - 3600,3
3400 - 3500,3
3300 - 3400,5
3200 - 3300,7
3100 - 3200,7
3000 - 3100,13
2900 - 3000,1
2800 - 2900,7
2700 - 2800,11
2600 - 2700,10
2500 - 2600,14
2400 - 2500,15
2300 - 2400,20
2200 - 2300,23
2100 - 2200,19
2000 - 2100,38
1900 - 2000,34
1800 - 1900,53
1700 - 1800,67
1600 - 1700,70
1500 - 1600,84
1400 - 1500,131
1300 - 1400,175
1200 - 1300,229
1100 - 1200,265
1000 - 1100,381
900 - 1000,537
800 - 900,741
700 - 800,1092
600 - 700,1712
500 - 600,2631
400 - 500,4575
300 - 400,8614
200 - 300,18138
100 - 200,52067
0 - 100,565597
